wade_giles	frequency	type	chapters	first_context	pinyin	notes
Jen-min	3	name	ch01, ch04	d (KKHP [1973.1], pp. 70, 79, 88, 91, plates 3.1, 4.2, 13.8). It is only in the Jen-min Park phase t		LOW-FREQUENCY. May preserve as Wade-Giles.
Ch'iang	3	name	ch01, ch04	hat turtles were sent in, in the same way as were the horses, dogs, bovids, and Ch'iang captives rec		LOW-FREQUENCY. May preserve as Wade-Giles.
K'ufang	3	name	ch02, ch04	ote[66]{A fuller form, wang chan pu yüeh, occasionally appears (e.g., 拼編 382.3; K'ufang 1935 [D S282		LOW-FREQUENCY. May preserve as Wade-Giles.
Hai-po	3	name	ch03, ch05	學專刋乙種第十四號(Peking,1965). This work, prepared under the general editorship of Sun Hai-po is a revised 		LOW-FREQUENCY. May preserve as Wade-Giles.
Jan-wei	3	name	ch03, ch04	y author, and by 董 and Huang's 徐 chia-ku nien-piao.\footnote[28]{董 作宾 and Huang Jan-wei , Hsu chia-k		LOW-FREQUENCY. May preserve as Wade-Giles.
Wen-lu	3	name	ch04	eriod IIb: K'u-fang 1076 (D); Ts'uipien 176; 1352; Yi-ts'un 401; period III+IV: Wen-lu 174; 232; 723		LOW-FREQUENCY. May preserve as Wade-Giles.
Shang	2	dynasty	ch01, ch04	n Procedures} \label{ch:1} % source: scan 020, printed 3 % intro-echo-dropped: Shang % intro-echo-dr	商	HIGH-PRIORITY. Mass replacement OK per user guidance.
Pyro-scapulimancy	2	name	ch01	agreeing with Cooper, believes apyroscapulimancy to have been the older form.}² Pyro-scapulimancy, n		LOW-FREQUENCY. May preserve as Wade-Giles.
Jen-fang	2	name	ch01, ch04	plastrons.\footnote[35]{In period Vb (董's New School), the campaign against the Jen-fang was recorde		LOW-FREQUENCY. May preserve as Wade-Giles.
P'ei	2	name	ch02	n. 134) suggests that crack numbers were engraved before crack notations (Huang P'ei-jung [1975], pp		LOW-FREQUENCY. May preserve as Wade-Giles.
Ying-hui	2	name	ch02, ch05	.g., 拼編 66.3, 5, 7. On the nature of early writing materials in general, see Su Ying-hui (1957).} 95		LOW-FREQUENCY. May preserve as Wade-Giles.
Yen	2	name	ch02, ch03	the rubbing numbers of pigmented bones and shells in Menzies, 明候, and White. Li Yen (1970), plate 1,	颜	HIGH-PRIORITY. Mass replacement OK per user guidance.
Keng's	2	name	ch03, ch04	ls. (Hong Kong, 1974-1975). For a review, see Mattos (1976).}\footnote[15]{Jung Keng's original corp		LOW-FREQUENCY. May preserve as Wade-Giles.
Wu-shih-nien	2	name	ch03	r bibliographies of oracle-bone studies have been published. The first is 胡厚宣's Wu-shih-nien chia-ku		LOW-FREQUENCY. May preserve as Wade-Giles.
Meng-chia	2	name	ch04	he sacrificial schedules of periods IIb and V; on the sacrifice schedule, see 陳 Meng-chia (1956), pp	孟家	HIGH-PRIORITY. Mass replacement OK per user guidance.
K'ou	2	name	ch04	periods I and IIa (焦 [1959], pp. 845-846; 徐 金雄 [1972], p. 4a). \listitem{3} Lü, K'ou, and Ho J may h		LOW-FREQUENCY. May preserve as Wade-Giles.
Britton's	2	name	ch05	(金 祥-heng [1962], pp. 189–191; 李 颜 [1970], p. 283, plate 14) and 奇-chi W5 (see Britton's comment by 		LOW-FREQUENCY. May preserve as Wade-Giles.
Pao-kuang	2	name	ch05	ad the last two graphs). 36. For the extensive career of one master forger, Lan Pao-kuang, who studi		LOW-FREQUENCY. May preserve as Wade-Giles.
Chi-ch	2	name	ch05	quality of reproduction in the original edition was not always good. Similarly, Chi-ch'eng 1 initiat		LOW-FREQUENCY. May preserve as Wade-Giles.
Hai-wai	2	name	ch05	. The virtues of rubbings and photographs may readily be compared by consulting Hai-wai, pt. 1, 1–12		LOW-FREQUENCY. May preserve as Wade-Giles.
Chalfant's	2	name	ch05	chi, 京, and Ku-fang) are thought less good (ibid., pp. 19, 2013 for examples of Chalfant's errors, s		LOW-FREQUENCY. May preserve as Wade-Giles.
Ts'un	2	name	ch05	ed) fragments in 践授, 前編, 京華, 傅家, 傅印, 侯编, 續編, Kikkō, Pu-tz'u, 铁-阴i, 铁-阴ü, 铁-阴ün, Ts'un-chen, 董 (1929a		LOW-FREQUENCY. May preserve as Wade-Giles.
Attila's	1	name	ch01	ppi (1968), p. 52, n. 1.}\footnote[7]{For the reasons why Jordanes' record that Attila's haruspices 		LOW-FREQUENCY. May preserve as Wade-Giles.
Fu-ho-kou-men	1	place/site	ch01	. 251, 259; 張秉權 [1967], pp. 842844). At present, the earliest find is that from Fu-ho-kou-men in Lia	阜	LOW-FREQUENCY but mapped. Review in context.
Lu-ssu-ts	1	name	ch01	th articles overlook the early 商 scapula(s) (?) prepared with hollows, found at Lu-ssu-ts'un in west		LOW-FREQUENCY. May preserve as Wade-Giles.
Erh-li-t	1	name	ch01	K [1964.9], p. 436, fig. 3.10). Unprepared scapulas have recently been found at Erh-li-t'ou , Honan 		LOW-FREQUENCY. May preserve as Wade-Giles.
Tz'u	1	name	ch01	scapulas have recently been found at Erh-li-t'ou , Honan (KK [1974.4], p. 241), Tz'u-hsien , Hopei (		LOW-FREQUENCY. May preserve as Wade-Giles.
Ning-ch	1	name	ch01	-t'ou , Honan (KK [1974.4], p. 241), Tz'u-hsien , Hopei (KKHP [1975.1], p. 98), Ning-ch'eng Liaoning		LOW-FREQUENCY. May preserve as Wade-Giles.
Ming-chen	1	name	ch01	times, are now extinct.\footnote[20]{De Chardin and Young (1936), pp. 56, 58. 周 Ming-chen and 徐 Yü-h		LOW-FREQUENCY. May preserve as Wade-Giles.
An-shang-ts	1	name	ch01	史 长-居 (1954), pp. 267-268, pre-商 plastromantic remains have been found only at An-shang-ts'un wester		LOW-FREQUENCY. May preserve as Wade-Giles.
Hei-ku-tuiin	1	name	ch01	astromantic remains have been found only at An-shang-ts'un western Shantung and Hei-ku-tuiin eastern		LOW-FREQUENCY. May preserve as Wade-Giles.
Hei-ku-tui	1	name	ch01	transitional. It is also possible that the prepared plastron fragment found at Hei-ku-tui may have b		LOW-FREQUENCY. May preserve as Wade-Giles.
Nan-kuan-wai	1	name	ch01	just south of 成-州 in 1955 indicate that unprepared plastrons were found in the Nan-kuan-wai stage; p		LOW-FREQUENCY. May preserve as Wade-Giles.
T'aihsi	1	name	ch01	recent reports of plastromantic remains associated with the 商 cultural sites at T'aihsi-ts'un in Hop		LOW-FREQUENCY. May preserve as Wade-Giles.
Van-kiem	1	name	ch01	gion of present Vietnam to the court of the sage emperor Yao in 2361 B.C. (Thai Van-kiem [1963], pp.		LOW-FREQUENCY. May preserve as Wade-Giles.
Berry's	1	name	ch01	viners may be absolved of the charge of exterminating the species. 28 A list of Berry's identificati		LOW-FREQUENCY. May preserve as Wade-Giles.
Ch'ienpien	1	name	ch01	hells came from the east, west, and south.\footnote[43]{胡厚宣 (1944a), pp. 6b-8a. Ch'ienpien 4.54.6 an		LOW-FREQUENCY. May preserve as Wade-Giles.
T'ien	1	name	ch01	ltar (李 成-fu [1965], pp. 50-51; Ojima [1968], pp. 28-29; Katō [1970], 1155; cf. T'ien Ch'ienchün [19		LOW-FREQUENCY. May preserve as Wade-Giles.
Po-hu-t	1	name	ch01	s indicate that a thorn brand was used.\footnote[97]{For the texts, principally Po-hu-t'ung, Shihchi		LOW-FREQUENCY. May preserve as Wade-Giles.
Yin-ch	1	name	ch02	he problems, see Ikeda (1964), 1.13.7. On the location of 殷墟 (or, with GSR 78a, Yin-ch'ü; but cf. Cr		LOW-FREQUENCY. May preserve as Wade-Giles.
K'o	1	name	ch02	akashima (1973), p. 324, n. 7; GSR 1226a. Some scholars, however, read the name K'o (e.g., 焦 [1959],		LOW-FREQUENCY. May preserve as Wade-Giles.
Kuei-day	1	name	ch02	e discerned,\footnote[10]{The following regularities may be cited: \listitem{1} Kuei-day divinations		LOW-FREQUENCY. May preserve as Wade-Giles.
School's	1	name	ch02	e taken over in period IIb (see sec. 4.3.1.12); it is the hypothesis of the Old School's return in I		LOW-FREQUENCY. May preserve as Wade-Giles.
Tso-chuan	1	name	ch02	, or ming-kuei, ``to charge the turtle,'' appears in 商-shu, ``金 t'eng,'' and in Tso-chuan, 周-理, and 		LOW-FREQUENCY. May preserve as Wade-Giles.
Cho-ts	1	name	ch02	the rubbing is hard to decipher, following the reading of 李 颜 [1969], p. 195); Cho-ts’un 34 (S281.4 		LOW-FREQUENCY. May preserve as Wade-Giles.
Chu	1	name	ch02	ned brown, or black with yellow and brown tinges, or light yellow.\footnote[97]{Chu (1935), ch. 6, p		LOW-FREQUENCY. May preserve as Wade-Giles.
Wu-kuants	1	name	ch02	Pao-chün (1951), pp. 26-27, plate 9.4, reported a jade knife, excavated from a Wu-kuants'un grave in		LOW-FREQUENCY. May preserve as Wade-Giles.
Ch'i	1	name	ch02	(fig. 14). Britton (1940), pp. 15-16, cites cases in the Princeton collection (Ch'i-chi, P). An aste	奇	MEDIUM priority. Careful verification recommended.
Li	1	name	ch02	es the rubbing numbers of pigmented bones and shells in Menzies, 明候, and White. Li Yen (1970), plate	李	HIGH-PRIORITY. Mass replacement OK per user guidance.
Pu-shih	1	name	ch02	ur in the glyphs.'' Obscure references to inking the shell appear in 周-理 (``春管, Pu-shih''; CLCY, ch.		LOW-FREQUENCY. May preserve as Wade-Giles.
Lo-kao	1	name	ch02	eur [1950], vol. 1, pp. 682-683), and in the pseudo-孔 commentary to Shangshu, ``Lo-kao'' (史-san-chin		LOW-FREQUENCY. May preserve as Wade-Giles.
Yang-shao	1	name	ch02	nding the skeletons in the upper cave at 周-k`ou-tien (长 光 [1968], p. 70) and at Yang-shao sites such		LOW-FREQUENCY. May preserve as Wade-Giles.
Ta-ho-ts	1	name	ch02	he upper cave at 周-k`ou-tien (长 光 [1968], p. 70) and at Yang-shao sites such as Ta-ho-ts'un and the 		LOW-FREQUENCY. May preserve as Wade-Giles.
E's	1	name	ch03	famous story, first published by 董 in 1930, about Wang 乙-jung's sickness and 刘 E's discovery of insc		LOW-FREQUENCY. May preserve as Wade-Giles.
Western-language	1	name	ch03	1947); 胡厚宣 (1955), pp. 35-42; 陳 孟家 (1956), pp. 50-54; 董 (1965), pp. 46-118. For Western-language acc		LOW-FREQUENCY. May preserve as Wade-Giles.
Lien-kuan	1	name	ch03	Jung Keng, 金-文-pien (Tientsin [?], 1925). The 1959 edition has been reissued by Lien-kuan ch'u-pan s		LOW-FREQUENCY. May preserve as Wade-Giles.
Jih-sheng	1	name	ch03	found in the published corpus of 商 and 周 vessels,\footnote[14]{周 Fa-kao with 长 Jih-sheng [Cheung Yat		LOW-FREQUENCY. May preserve as Wade-Giles.
Yat-shing	1	name	ch03	ished corpus of 商 and 周 vessels,\footnote[14]{周 Fa-kao with 长 Jih-sheng [Cheung Yat-shing], 徐 知-yi [		LOW-FREQUENCY. May preserve as Wade-Giles.
Chee-yee	1	name	ch03	essels,\footnote[14]{周 Fa-kao with 长 Jih-sheng [Cheung Yat-shing], 徐 知-yi [Tsui Chee-yee] and Lin Ch		LOW-FREQUENCY. May preserve as Wade-Giles.
Chich-ming	1	name	ch03	4]{周 Fa-kao with 长 Jih-sheng [Cheung Yat-shing], 徐 知-yi [Tsui Chee-yee] and Lin Chich-ming [Lam Kit-		LOW-FREQUENCY. May preserve as Wade-Giles.
Kit-ming	1	name	ch03	长 Jih-sheng [Cheung Yat-shing], 徐 知-yi [Tsui Chee-yee] and Lin Chich-ming [Lam Kit-ming]林潔明,eds., 金-		LOW-FREQUENCY. May preserve as Wade-Giles.
T'aishun	1	name	ch03	IT, and 易編/拼編 identifications of the second edition, was reprinted in Taipei by T'aishun shu-chuin 1		LOW-FREQUENCY. May preserve as Wade-Giles.
Yin-tai	1	name	ch03	. Based on a corpus of fifty-eight published and seven unpublished collections, Yin-tai chen-pu jen-		LOW-FREQUENCY. May preserve as Wade-Giles.
Peng's	1	name	ch03	for beginners.} 26 Although useful, it has been superseded to a large extent by Peng's ``An Annotate		LOW-FREQUENCY. May preserve as Wade-Giles.
Shu-chi	1	name	ch03	on the Inscribed Oracle Bones Excavated from the Yin Ruins,\footnote[27]{Madge Shu-chi Peng, ``An An		LOW-FREQUENCY. May preserve as Wade-Giles.
Huang's	1	name	ch03	are entirely bibliographical in nature.}'' 27 arranged by author, and by 董 and Huang's 徐 chia-ku nie		LOW-FREQUENCY. May preserve as Wade-Giles.
Deydier's	1	name	ch03	mits it to be used as a bibliography. The most recent bibliography is Christian Deydier's Les Jiaguw		LOW-FREQUENCY. May preserve as Wade-Giles.
Ya-nung	1	name	ch03	y Itō Michiharu (1967), Kaizuka Shigeki (1967), and Shirakawa Shizuka (1972); 李 Ya-nung \listitem{19		LOW-FREQUENCY. May preserve as Wade-Giles.
Boodberg's	1	name	ch03	frame of reference in which the inscriptions were made. Philology, in Peter A. Boodberg's striking p		LOW-FREQUENCY. May preserve as Wade-Giles.
Fang-kuei	1	name	ch03	es the systems of phonetic reconstruction, the reasons for preferring that of 李 Fang-kuei \listitem{		LOW-FREQUENCY. May preserve as Wade-Giles.
Ling-shih	1	name	ch03	bably to the west of the 商, used for hunting and farming.\footnote[73]{In fact, Ling-shih 113, k'ao-		LOW-FREQUENCY. May preserve as Wade-Giles.
Shu-ta	1	name	ch03	n \#, ``spring.'' 周 Feng (1976), p. 222, reverting to an earlier theory of Yang Shu-ta , argues that		LOW-FREQUENCY. May preserve as Wade-Giles.
Yi-p	1	name	ch03	. 29-30. For additional scholarship, see 金 祥-heng (1967); Nivison (1973)\%; Yen Yi-p'ing (1973a).}\f	乙	HIGH-MEDIUM priority. Batch replacement.
Pa-fang	1	name	ch03	r ``should not'' as a translation for the negative wu, see n. 44. To supply the Pa-fang as the objec	八	MEDIUM priority. Careful verification recommended.
Nivison's	1	name	ch03	93), and so I take it here; cf. 饒 (1959), p. 138; 郭 沫若, cited by CKWT, p. 3477. Nivison's argument (		LOW-FREQUENCY. May preserve as Wade-Giles.
Hsi-pei-kang	1	name	ch04	inations of the above. The matter bears on the eleven supposedly royal tombs at Hsi-pei-kang (长 光 [1		LOW-FREQUENCY. May preserve as Wade-Giles.
Ta-lu	1	name	ch04	344-350) is given by Kaizuka (1946), pp. 208209 for a Chinese translation, see Ta-lu tsa-chih, 17.1 		LOW-FREQUENCY. May preserve as Wade-Giles.
Putz'u	1	name	ch04	lar.}\footnote[43]{徐 金雄 (1974), p. 9.}\footnote[44]{E.g., 甲編 786 (S76.2); 拼編 3: Putz'u 16 (S452.1); 		LOW-FREQUENCY. May preserve as Wade-Giles.
Kung	1	name	ch04	on of the Old and New Schools, will not be accepted by all. See, for example, 乙 Kung (1957); see too		LOW-FREQUENCY. May preserve as Wade-Giles.
Ho-wen	1	name	ch04	956], p. 236). For a list of the occurrences of these terms, see CKWP (1934), ``Ho-wen,'' pp. 10b-11		LOW-FREQUENCY. May preserve as Wade-Giles.
Fu-lu	1	name	ch04	WP (1934), ``Ho-wen,'' pp. 10b-11a; CKWP (1965), ``Howen,'' pp. 27a-b; 續甲骨文編, ``Fu-lu,'' \ref{ch:1} 		LOW-FREQUENCY. May preserve as Wade-Giles.
Hou-pien	1	name	ch04	79.4; period IIb: 践授 29.5; 侯编 1.19.3; period III-IV: 人文 1737; 1767\%; period V: Hou-pien 1.10.16; 2.	侯编	HIGH-MEDIUM priority. Batch replacement.
Ch'ien	1	name	ch04	1.19.3; period III-IV: 人文 1737; 1767\%; period V: Hou-pien 1.10.16; 2.15.1 RFG: Ch'ien-pien 6.26.1; 	钱	HIGH-MEDIUM priority. Batch replacement.
K'u	1	name	ch04	: Hou-pien 1.10.16; 2.15.1 RFG: Ch'ien-pien 6.26.1; 人文 3242. 鄭-yüeh period IIb: K'u-fang 1076 (D); T	库	MEDIUM priority. Careful verification recommended.
Ts'uipien	1	name	ch04	2.15.1 RFG: Ch'ien-pien 6.26.1; 人文 3242. 鄭-yüeh period IIb: K'u-fang 1076 (D); Ts'uipien 176; 1352; 		LOW-FREQUENCY. May preserve as Wade-Giles.
Yi-ts	1	name	ch04	ien 6.26.1; 人文 3242. 鄭-yüeh period IIb: K'u-fang 1076 (D); Ts'uipien 176; 1352; Yi-ts'un 401; period	乙	MEDIUM priority. Careful verification recommended.
Spill-over	1	name	ch04	agreement has not yet been reached on which formulas belong to which periods.98 Spill-over probably 		LOW-FREQUENCY. May preserve as Wade-Giles.
Kuei-mao	1	name	ch04	form \inscriptionsection{INSCRIPTION} \begin{inscriptionblock} \inscriptionref{Kuei-mao divination} 		LOW-FREQUENCY. May preserve as Wade-Giles.
Kuei-wei	1	name	ch04	{INSCRIPTION} \end{inscriptionblock} \begin{inscriptionblock} \inscriptionref{Kuei-wei divination} (		LOW-FREQUENCY. May preserve as Wade-Giles.
Kuei-ssu	1	name	ch04	ple: \inscriptionsection{INSCRIPTION} \begin{inscriptionblock} \inscriptionref{Kuei-ssu divination} 		LOW-FREQUENCY. May preserve as Wade-Giles.
Yeh-san	1	name	ch04	y, in period V (S442.4443.2; possible exceptions are 人文 2141; Ninghu 1.331 [D]; Yeh-san 43.2). Divin		LOW-FREQUENCY. May preserve as Wade-Giles.
Jen-tzu	1	name	ch04	ion: \inscriptionsection{INSCRIPTION} \begin{inscriptionblock} \inscriptionref{Jen-tzu hunting divin		LOW-FREQUENCY. May preserve as Wade-Giles.
Tzu-yung	1	name	ch04	tations, their presence in an inscription provides a clue to its relative date. Tzu-yung was used in		LOW-FREQUENCY. May preserve as Wade-Giles.
P'eijung	1	name	ch04	stromancy. The best discussions, are those of 焦 (1957/58), pp. 16-20, and Huang P'eijung (1969). Hua		LOW-FREQUENCY. May preserve as Wade-Giles.
Erh-li	1	name	ch04	1974), pp. 104-112, 129. Early 商 is here used to refer to oracle bones found at Erh-li-kang二里岡, 刘-里-		LOW-FREQUENCY. May preserve as Wade-Giles.
Hou-kang	1	name	ch04	12.1-6) are 3.2.139; 5.2.66; 甲編 2342; 2344; 2875; 易編 9105 (this last being from Hou-kang). In some c		LOW-FREQUENCY. May preserve as Wade-Giles.
K'e	1	name	ch04	fic information, but in some cases (e.g., the sheep scapulas from the 龙 site at K'e-sheng-chuang E; 		LOW-FREQUENCY. May preserve as Wade-Giles.
Feng-hsi	1	name	ch04	some cases (e.g., the sheep scapulas from the 龙 site at K'e-sheng-chuang E; see Feng-hsi fa-chieh pa		LOW-FREQUENCY. May preserve as Wade-Giles.
Tui-diviner	1	name	ch04	c and technical evolution could be developed. The fact that inscriptions of the Tui-diviner group fr		LOW-FREQUENCY. May preserve as Wade-Giles.
Shih	1	name	ch04	according to 史 % out-of-scope-heading: 13.0.17714 came from YH127; according to Shih 长-居 (1959), p. 	史	HIGH-MEDIUM priority. Batch replacement.
Wu-ch	1	name	ch05	me of which are ancestral to later chia-ku forms, found on pottery fragments at Wu-ch'eng Ch'ing-chi		LOW-FREQUENCY. May preserve as Wade-Giles.
Ch'ing	1	name	ch05	h are ancestral to later chia-ku forms, found on pottery fragments at Wu-ch'eng Ch'ing-chiang I, Kia		LOW-FREQUENCY. May preserve as Wade-Giles.
Kao-ch	1	name	ch05	[1976]). These may be compared with the symbols inscribed on pot fragments from Kao-ch'eng, 台-hsi, H		LOW-FREQUENCY. May preserve as Wade-Giles.
Ta-lien-k	1	name	ch05	or apparent is uncertain. A large number of period III + IV finds came from the Ta-lien-k'eng, appro		LOW-FREQUENCY. May preserve as Wade-Giles.
Kunio's	1	name	ch05	36) who argued that all the inscriptions were fakes. (Uno Tetsuto [18751974], 島 Kunio's teacher, als		LOW-FREQUENCY. May preserve as Wade-Giles.
University's	1	name	ch05	en of the estimated one hundred fragments in the Britton collection in Columbia University's East As		LOW-FREQUENCY. May preserve as Wade-Giles.
Yeh-ch	1	name	ch05	ollections are Kikkō 2.28.12; 2.29.12; 2.29.16; 铁-阴ün 57.1; 84.1; 130.1; 254.1; Yeh-ch'u 26.1; 37.6;		LOW-FREQUENCY. May preserve as Wade-Giles.
Lefeuvre's	1	name	ch05	quality of the various editions of rubbing collections will be fully treated in Lefeuvre's forthcomi		LOW-FREQUENCY. May preserve as Wade-Giles.
Ku-fang	1	name	ch05	high quality (Jung Keng [1947], p. 21) and those of Chalfant (in 奇-chi, 京, and Ku-fang) are thought 		LOW-FREQUENCY. May preserve as Wade-Giles.
Yin-li-p	1	name	ch05	ne of the master draftsmen was 董 作宾; see, for example, his numerous drawings in Yin-li-p'u (董 [1945]		LOW-FREQUENCY. May preserve as Wade-Giles.
Oracle-bone	1	name	ch05	and direction on the bone. His entries too must be treated as representations. Oracle-bone scholars 		LOW-FREQUENCY. May preserve as Wade-Giles.
Fan-li	1	name	ch05	is used to represent one missing character.\footnote[63]{E.g., 甲編 k'ao-shih, ``Fan-li,” p. 9. 149 0 		LOW-FREQUENCY. May preserve as Wade-Giles.
Yits'un	1	name	ch05	, 京華, 傅家, 傅印, 侯编, 續編, Kikkō, Pu-tz'u, 铁-阴i, 铁-阴ü, 铁-阴ün, Ts'un-chen, 董 (1929a), Yits'un, and 殷墟 (see		LOW-FREQUENCY. May preserve as Wade-Giles.
Yip'ing	1	name	ch05	ch. 10, passim, challenges ninety-seven rejoinings made by previous scholars; 颜 Yip'ing's discussion		LOW-FREQUENCY. May preserve as Wade-Giles.
Many-such	1	name	ch05	construction given, when necessary, in a gloss, have an important role to play. Many-such as the res		LOW-FREQUENCY. May preserve as Wade-Giles.
Lindholm's	1	name	ch05	a anyangensis. Pope (1935), in his monograph on the reptiles of China, accepted Lindholm's redescrip		LOW-FREQUENCY. May preserve as Wade-Giles.
